"Type1","Type2","Type3","Type4"
"86.9","2.9","7.6","2.6"
"92.3","2.9","1.9","2.9"
"48.5","0.1","50.4","1.0"
"91.3","4.5","1.0","3.2"
"86.1","1.4","0.5","12.0"
"58.2","28.6","10.5","2.7"
"5.2","85.5","5.8","3.6"
"77.3","5.0","4.4","13.3"
"67.3","1.3","17.6","13.8"
